artist,year,occurrences,title
Editors,2013,14,Formaldehyde
Teräsbetoni,2006,14,Vaadimme Metallia
Savage Garden,2010,14,Affirmation
Joyce Manor,2012,14,Leather Jacket
Death,2016,14,Denial of Life
Cock Robin,2010,14,The Promise You Made
Catatonia,1998,14,Don't Need the Sunshine
Pink Floyd,1971,14,Interstellar Overdrive
Iced Earth,2011,14,V
Luomo,2008,14,The Present Lover
Brian Eno,1992,14,Innocenti
Otis Redding,2011,14,These Arms of Mine
The Notwist,2010,14,This Room
"Sammy Davis, Jr.",2012,14,Hey There
Natasha St-Pier,2011,14,Tu Trouveras
Jomanda,1990,14,Don't You Want My Love
Antonio Vivaldi,2002,14,Largo
The Babies,2011,14,Run Me Over
Satyricon,1997,14,Du Som hater gud
Wolf Eyes,2004,14,Rattlesnake Shake
Mesh,1999,14,Not Prepared
Dead Can Dance,2012,14,Children of the Sun
Lorn,2010,14,What's the Use
Stevie Ray Vaughan,2005,14,Scuttle Buttin'
Conway Twitty,2011,14,Hello Darlin'
Turnover,2017,14,Pure Devotion
Netsky,2009,14,Prisma
The Barnkickers,2009,14,Night Song
Marduk,1996,14,Infernal Eternal
The Electric Prunes,1968,14,Holy Are You
Ihsahn,2013,14,Regen
Agoria,2004,14,Think Different
Toots and The Maytals,2014,14,If You Act This Way
Weedeater,2007,14,Willow
Lil Twist,2010,14,Little Secret
Bombino,2013,14,Amidinine
Paul Weller,2002,14,Above the Clouds
"Peter, Paul & Mary",2013,14,Early in the morning
The Velvet Underground,1995,14,I Heard Her Call My Name
Jeff Buckley,2007,14,Forget Her
10 Ft. Ganja Plant,2007,14,Chalwa
The Faceless,2008,14,Shape Shifters
Gothminister,2003,14,The Holy One
Azure Ray,2001,14,Displaced
EAV,2014,14,Fata Morgana
Newsboys,2000,14,Entertaining Angels
DJ Okawari,2014,14,Evening Comes
Captain Hollywood Project,2013,14,More and More
KMFDM,1996,14,Apathy
Nat King Cole,2010,14,It's Only a Paper Moon
Deicide,2001,14,Dead by Dawn
Beseech,2000,14,Neon Ocean
Machine Head,2001,14,Trephination
Bob Marley & The Wailers,2004,14,Coming In From The Cold
Blind Guardian,2006,14,Another Stranger Me
Cut Chemist,2006,14,Spat
Beatfreakz,2007,14,SuperFreak
Anoice,2014,14,The Three-Days Blow
Social Distortion,2007,14,I Was Wrong
The Skatalites,2011,14,Garden Of Love
Saxon Shore,2005,14,Replacement Driver
Tool,2006,14,Vicarious
Joni Mitchell,2000,13,Willy
Pentagram,2004,13,Starlady
Dissection,2009,13,Soulreaper
Lindsey Stirling,2014,13,Swag
1349,2003,13,Pitch Black
Man Overboard,2010,13,Fantasy Girl
Faun,2013,13,Von den Elben
Björk,2005,13,I've Seen It All
James Bay,2016,13,Let It Go
Symphony X,1996,13,Pharaoh
James Chance & The Contortions,2004,13,Bedroom Athlete
Tomas Andersson,2006,13,Happy Happy
Ramones,1998,13,California Sun
Kana,2003,13,Plantation
Millencolin,2010,13,Twenty Two
Hooverphonic,2006,13,This Strange Effect
Pitchshifter,1998,13,Innit
Ellie Goulding,2018,13,Love Me Like You Do
One Direction,2013,13,One Thing
OOIOO,1998,13,Oizumio
Watain,2013,13,De Profundis
mind.in.a.box,2006,13,Unicorn (Pro.Version)
DJ Koze,2013,13,Brutalga Square
Running Wild,1987,13,Raise Your Fist
Pissed Jeans,2014,13,I'm Sick
Belle and Sebastian,2010,13,Come On Sister
The Clientele,2005,13,Step Into the Light
Geri Halliwell,2001,13,Lovey Dovey Stuff
Grateful Dead,2001,13,Box of Rain
Bob Marley & The Wailers,1974,13,Talkin' Blues
Fauxliage,2007,13,All the World
Tyrone Davis,2009,13,Can I Change My Mind
Atheist,1993,13,Displacement
El Grupo Nuevo de Omar Rodriguez Lopez,2009,13,Shake Is for 8th Graders
Anoice,2013,13,Kyoto
"Now, Now",2011,13,Roommates
St. Vincent,2011,13,Surgeon
Gordon Lightfoot,1988,13,The Wreck of the Edmund Fitzgerald
Slut,2008,13,If I Had A Heart
Nelly Furtado,2013,13,All Good Things
Henryk Górecki,2016,13,Symphony No. 3: II. Lento e Largo - Tranquillissimo
3 Inches of Blood,2004,13,Crazy Nights
Earth,1993,13,Seven Angels
Mägo de Oz,2002,13,El Lago
The Alan Parsons Project,1987,13,La Sagrada Familia
Duran Duran,2012,13,The Reflex
The Go-Go's,1999,13,Our Lips Are Sealed
Mathew Jonson,2009,13,Marionette
Mägo de Oz,2003,13,La Rosa De Los Vientos
Triumvirat,1975,13,The Burning Sword of Capua
City and Colour,2013,13,Thirst
Anorexia Nervosa,2001,13,Le portail de la vierge
Demon Hunter,2005,13,Not I
The Aggrolites,2007,13,Free Time
Slowdive,2018,13,Slomo
Diablo,2005,13,Condition Red
Wolfchant,2013,13,Clankiller
Parov Stelar,2004,13,For All We Know
Ginuwine,2016,13,Pony
Siouxsie and the Banshees,1988,13,Rhapsody
Across Five Aprils,2003,13,Around the World in a Radio Flyer
Giovanni Allevi,2010,13,Ti Scrivo
Kittie,2000,13,Trippin'
Three 6 Mafia,2005,13,Stay Fly
BTS,2019,13,Mikrokosmos
Mobb Deep,1995,13,Temperature's Rising
Dark Tranquillity,2013,13,Apathetic
Iron Butterfly,2017,13,Termination
Bryan Adams,1993,13,Heaven
Burning Witch,2009,13,Country Doctor
Pallbearer,2012,13,Foreigner
Ozzy Osbourne,1964,13,Crazy Train
Janis Joplin,1993,13,Kozmic Blues
Alan Jackson,2015,13,Pop A Top
Biosphere,2000,13,Grandiflora
Manic Street Preachers,2007,13,Underdogs
Depeche Mode,2006,13,Martyr
Darude,2009,13,Sandstorm
David Cross,2002,13,Socks and Shoes
Orbital,2003,13,Blood Is Thicker
Genesis,1983,13,Illegal Alien
Basic Channel,2008,13,Octagon
Tom Jones,2011,13,Sex Bomb
Bo Diddley,2011,13,Pretty Thing
Leprous,2011,13,Forced Entry
Mark Ronson,2009,13,Stop Me
Andy McKee,2006,13,For My Father
Jacques Brel,2010,13,J'Arrive
Wilkinson,2013,13,Take You Higher
Pierce The Veil,2010,13,The New National Anthem
Clawfinger,2007,13,Life Will Kill You
Herman's Hermits,2015,13,Can't You Hear My Heartbeat
Logistics,2012,13,Fear Not
Rush,1997,13,Something for Nothing
µ-Ziq,2007,13,Dexedrine Girl
2002,2003,13,Suddenly Yours
Green Day,2009,13,Peacemaker
Otis Redding,2007,13,Down in the Valley
The 1975,2016,13,Somebody Else
David Guetta,2002,13,You Are The Music
Red Hot Chili Peppers,2015,13,Me & My Friends
Rebelution,2009,12,Lazy Afternoon
Genghis Tron,2005,12,Rock Candy
Bob Dylan,2000,12,Oxford Town
Ween,1997,12,Mutilated Lips
Nostalgia 77,2007,12,Little Steps
Alex Smoke,2008,12,A Moment To Myself
Eve,2002,12,Let Me Blow Ya Mind
Sevendust,2005,12,Denial
Exo,2015,12,Call Me Baby
Airbourne,2007,12,Fat City
Mtume,2015,12,Juicy Fruit
Blackfilm,2010,12,Sonar
Syncopix,2006,12,General Hospital
Current 93,1992,12,Earth Covers Earth
Dawn of Ashes,2008,12,Psycho Therapy
Six Organs of Admittance,2002,12,This Hand
Junior Murvin,2012,12,Police and Thieves
The Shirelles,2013,12,Will You Love Me Tomorrow
Stumbleine,2012,12,Ember
Xasthur,2004,12,Cursed Revelations
Schandmaul,2009,12,Denk an mich
Living Colour,2006,12,Nothingness
DMX,2006,12,Lord Give Me a Sign
Aerosmith,1977,12,Sight for Sore Eyes
Bob Sinclar,2010,12,Love Generation
Black Tide,2011,12,That Fire
Joss Stone,2008,12,Baby Baby Baby
Crystal Castles,2016,12,Concrete
Melechesh,2010,12,Sacred Geometry
Subheim,2008,12,Intact
A$AP Rocky,2013,12,Suddenly
Stéphane Pompougnac,2003,12,Living on the Edge
Muna,2016,12,Loudspeaker
Madsen,2006,12,Happy End
fun.,2012,12,All Alright
Brad Paisley,1999,12,Then
Tiamat,2014,12,Via Dolorosa
bôa,2001,12,Duvet
Terry Jacks,2015,12,Seasons in the Sun
Theatre of Tragedy,1995,12,Monotonë
Avey Tare,2010,12,Oliver Twist
Mithotyn,1998,12,Hail Me
Angels & Agony,2004,12,Stronghold
Metro Area,2017,12,Orange Alert
Iggy Pop,2005,12,I'm Bored
Tim Bendzko,2013,12,Sag einfach ja
Tiësto,2014,12,Red Lights
Rufus,2000,12,Do You Love What You Feel
Jamiroquai,1997,12,Canned Heat
Clubroot,2009,12,Embryo
Parov Stelar,2014,12,All Night
Lisa Shaw,2005,12,Grown Apart
Bush,2013,12,Baby Come Home
Architects,2010,12,Day In Day Out
Frejat,2011,12,Segredos
Dropkick Murphys,2002,12,Which Side Are You On?
John Paul Jones,1999,12,B. Fingers
Axel Bartsch,2006,12,Redlight
The Haxan Cloak,2013,12,Mara
The Birthday Party,1981,12,Just You and Me
Premiata Forneria Marconi,1972,12,Per Un Amico
Sabrepulse,2011,12,A Girl I Know
Opeth,1995,12,Silhouette
Have a Nice Life,2008,12,Earthmover
Fennesz,2003,12,Badminton Girl
Don Caballero,2008,12,Shit Kids Galore
Portugal. The Man,2011,12,Senseless
Katharine McPhee,2009,12,Had It All
John Lennon,2008,12,(Just Like) Starting Over
Modest Mouse,2015,12,Strangers to Ourselves
The Amity Affliction,2010,12,Cornerstone Of Misery
Sharelle,2011,12,I Give In
The Alan Parsons Project,2007,12,I Robot
Ohgr,2003,12,Earthworm
The Berzerker,2003,12,Death Reveals
Britney Spears,2006,12,My Prerogative
Dru Hill,2009,12,Beauty
Cheap Trick,1978,12,Auf Wiedersehen
Clark,2014,12,Snowbird
August Burns Red,2017,12,Invisible Enemy
UB40,2005,12,Please Don't Make Me Cry
Nagel,2011,12,Tel Aviv
Cassandra Wilson,2009,12,I Can't Stand The Rain
Nocturnal Rites,1999,12,The Iron Force
Minus 8,2006,12,Cold Fusion
The Raveonettes,2014,12,Endless Sleeper
George Michael,2016,12,Careless Whisper
Madonna,2012,12,Gang Bang
Dirtyphonics,2013,12,Walk in the Fire
Amethystium,2001,12,Dreamdance
Taking Back Sunday,2011,12,Set Phasers to Stun
Marvin Gaye,1994,12,How Sweet It Is (To Be Loved By You)
Deftones,2012,12,Goon Squad
The West Coast Pop Art Experimental Band,2006,12,I Won't Hurt You
Armin van Buuren,2017,12,Great Spirit
Art of Dying,2006,12,I Will Be There
Roy Orbison,2005,12,Leah
Carly Rae Jepsen,2015,12,All That
James Brown,1991,12,The Payback
Attack Attack!,2008,12,Party Foul
JoJo,2007,12,Too Little Too Late
Catch 22,2000,12,Alone In A Crowd
Elton John,2000,12,The Bitch Is Back
The Clash,1988,12,Janie Jones
Tears for Fears,2005,12,Watch Me Bleed
Sonic Youth,1990,11,Mote
The Bangles,2001,11,Where Were You When I Needed You
*NSYNC,2012,11,Bye Bye Bye
NoName,2018,11,Self
Topaz Rags,2009,11,Sightings
The Berzerker,2006,11,Never Hated More
The Civil Wars,2012,11,To Whom It May Concern
No-Man,2012,11,Things Change
Isaiah Rashad,2014,11,Heavenly Father
Lizzy Mercier Descloux,2007,11,Torso Corso
B.B. King,1974,11,It's My Own Fault
The Residents,2012,11,Sinister Exaggerator
Captain Beefheart & His Magic Band,2011,11,Big Eyed Beans from Venus
Keep of Kalessin,2008,11,A New Empire's Birth
Electric Wizard,2004,11,We Live
Florian Meindl,2010,11,Blast (Format:B Remix)
Govi,1987,11,Gypsy Heart
Buraka Som Sistema,2008,11,General
Black Uhuru,1981,11,Sponji Reggae
Sublime with Rome,2011,11,Murdera
Autechre,1992,11,The Egg
Cephalic Carnage,2011,11,When I Arrive
Rush,1984,11,Kid Gloves
Jet,2006,11,Eleanor
Staind,2001,11,Suffer
Hubert Kah,2010,11,Rosemarie
Ellen Allien,2008,11,Sprung
Kiss,2008,11,"2,000 Man"
Joe Strummer,2003,11,Coma Girl
Jesu,2007,11,Conqueror
Dream Theater,2009,11,The Best of Times
Nightmares on Wax,1995,11,Dreddoverboard
The Pointer Sisters,2008,11,I'm So Excited
Delegation,2012,11,Oh Honey
Bliss,2008,11,Kissing
Tom Waits,2011,11,Satisfied
Kelis,2011,11,Millionaire
Tracy Chapman,2001,11,All That You Have Is Your Soul
Genesis,1974,11,Here Comes the Supernatural Anaesthetist
Roxette,2011,11,Listen to Your Heart
Scratch Acid,1991,11,Greatest Gift
Charlotte Gainsbourg,2013,11,Hey Joe
Olivier Messiaen,2010,11,Oraison
Limewax,2006,11,One Of Them
Death Cab for Cutie,2006,11,Crooked Teeth
deadmau5,2007,11,1981
Electrelane,2009,11,Blue Straggler
Coldplay,2014,11,All Your Friends
Luke Vibert,2009,11,Belief File
Bob Dylan,2011,11,To Ramona
Siouxsie and the Banshees,1978,11,Mirage
Veil of Maya,2017,11,Overthrow
Rival Sons,2012,11,Jordan
Lali Puna,2001,11,Don't Think
Signum,2005,11,In Progress
Destiny's Child,2002,11,Independent Women Part II
Steve Bug,2004,11,That Kid
Syreeta,2004,11,I Wanna Be By Your Side
The Kills,2004,11,Ticket Man
Eskimo,2004,11,Party Pooper
Yngwie Malmsteen,1995,11,Fire In The Sky
Mountain Man,2010,11,Animal Tracks
Coldplay,2016,11,Fix You
Boyz II Men,2013,11,I'll Make Love to You
The Used,2008,11,Sun Comes Up
The Knife,2010,11,Minerals
Marvin Gaye,2014,11,Can I Get A Witness
The Kooks,2011,11,Mr. Nice Guy
Meshuggah,2007,11,Gods Of Rapture
James Figurine,2006,11,Apologies
Erik Satie,2014,11,Caresse
Death from Above 1979,2014,11,Cheap Talk
Pink Floyd,1973,11,Us and Them
Bon Jovi,1986,11,Without Love
T.M.Revolution,2013,11,Meteor
America,2004,11,Lonely People
Los Fabulosos Cadillacs,2007,11,La Vida
Motörhead,1984,11,Metropolis
Pleasurekraft,2011,11,Carny
Leon Russell,2003,11,Stranger In A Strange Land
Patsy Cline,2015,11,She's Got You
Dick Dale,2014,11,Miserlou
Brandon Flowers,2015,11,Lonely Town
David Bowie,2017,11,Cat People (Putting Out Fire)
The Allman Brothers Band,2006,11,One Way Out
Basement Jaxx,2013,11,Good Luck
Pompeya,2011,11,Tropical
The Strokes,2013,11,Tap Out
Alec Empire,2008,11,New Man
Pale Saints,2013,11,Throwing Back the Apple
Nite Jewel,2009,11,Bottom Rung
Nxworries,2015,11,Suede
Brandi Carlile,2012,11,Raise Hell
The Go-Betweens,2012,11,Streets of Your Town
Usher,2005,11,U Don't Have To Call
Good Charlotte,2010,11,I Just Wanna Live
PUFFY,2004,11,Friends Forever
Of Monsters and Men,2012,11,Lakehouse
We Are Scientists,2006,11,It's A Hit
The Human Abstract,2011,11,Elegiac
Jawbreaker,2002,11,Boxcar
Test Icicles,2005,11,Circle Square Triangle
Paradis,2016,10,Toi Et Moi
KMFDM,1997,10,Down and Out
Wes Montgomery,2013,10,In Your Own Sweet Way
Pink Turns Blue,2008,10,Can't Be Love
Biting Elbows,2013,10,Bad Motherfucker
Alphaville,1984,10,To Germany With Love
Siouxsie and the Banshees,1987,10,This Town Ain't Big Enough For The Both Of Us
Aborted,2008,10,I35
Annie Lennox,2003,10,Into the West
Arthur Russell,2017,10,See-Through
Tony Bennett,2014,10,Rags to Riches
Totalselfhatred,2008,10,Enlightment
Extreme Noise Terror,1995,10,Conned Through Life
Sheryl Crow,2006,10,Real Gone
Ulver,2007,10,All the Love
Wayne Shorter,1966,10,Witch Hunt
Tor,2012,10,Aperture
Bee Gees,2014,10,I Started A Joke
Shivaree,2012,10,Goodnight Moon
Lunascape,2009,10,Severed Heart
Simple Minds,2016,10,The American
Maria Taylor,2007,10,A Good Start
AC/DC,2000,10,Hold Me Back
Lamb of God,2012,10,Desolation
George Jones,2005,10,He Stopped Loving Her Today
Alex Reece,1996,10,Jazz Master
Kendrick Lamar,2015,10,Mortal Man
Veil of Maya,2010,10,Conquer
Youandewan,2013,10,So long
AFI,2000,10,Morningstar
Nino Rota,1991,10,The Godfather Waltz
Delphic,2009,10,Counterpoint
Alicia Keys,2012,10,Love Is Blind
Bing Crosby,2011,10,Santa Claus Is Comin' To Town
Peter Gabriel,2003,10,Here Comes the Flood
Kimbra,2012,10,Settle Down
L'Arc~en~Ciel,1996,10,Fare Well
Hootie & The Blowfish,1994,10,I'm Goin' Home
Grimes,2014,10,Oblivion
George Duke,2010,10,I Love You More
Phil Collins,1982,10,I Don't Care Anymore
Kamelot,2015,10,Fallen Star
Destroy Rebuild Until God Shows,2011,10,Sex Life
Kettel,2008,10,Church
Arkona,2016,10,Pod Mechami
Nicolas Jaar,2011,10,Mi Mujer
Andrew Lloyd Webber,2009,10,Heaven On Their Minds
Sheryl Crow,1995,10,Can't Cry Anymore
The Wombats,2015,10,Greek Tragedy
Simon & Garfunkel,2002,10,Old Friends
Robert Plant,2006,10,Big Log
Ministry,2011,10,Every Day Is Halloween
Rival Consoles,2018,10,Unfolding
Salem,2010,10,Trapdoor
Sparks,1974,10,Amateur Hour
CHVRCHES,2014,10,Dead Air
Napalm Death,1987,10,Sacrificed
Mos Def,2004,10,The Beggar
Jerry Lee Lewis,2011,10,Crazy Arms
Elvis Costello,2006,10,Watching the Detectives
Dilated Peoples,2006,10,"You Can't Hide, You Can't Run"
Sean Kingston,2007,10,Kingston
Hatcha & Benga,2006,10,10 Tons Heavy
Estatic Fear,1996,10,Ode to Solitude
Coldplay,2011,10,Up in Flames
David Bowie,2016,10,Sound and Vision
Cloudkicker,2008,10,Dysphoria
The National,2017,10,Day I Die
mewithoutYou,2002,10,Gentlemen
Serge Gainsbourg,2006,10,Torrey Canyon
Blutengel,2004,10,Go to Hell?
Chevelle,2011,10,Arise
Chet Faker,2012,10,I'm Into You
Catamenia,2013,10,Verikansa
Chet Baker,2010,10,I Get Along Without You Very Well
Jeff Beck,2008,10,Blue Wind
Eurythmics,1991,10,When Tomorrow Comes
Oceanlab,2008,10,Just Listen
Revolting Cocks,2006,10,Devil Cock
The Perms,2009,10,Give Me All Your Lovin'
Johnny Cash,2012,10,Folsom Prison Blues
Sum 41,2011,10,Reason to Believe
Testament,1988,10,Nobody's Fault
No More,2002,10,Suicide Commando
Enslaved,2011,10,Giants
Edwin Birdsong,1979,10,Cola Bottle Baby
Built to Spill,2001,10,The Weather
Helen Reddy,2005,10,I Am Woman
High Contrast,2012,10,The Stand
The Hollies,1997,10,Bus Stop
Clay Walker,1998,10,Rumor Has It
System 7,2000,10,Hangar 84
Janis Joplin,1983,10,Mercedes Benz
Waglewski Fisz Emade,2008,9,Badminton
Method Man & Redman,2008,9,Da Rockwilder
Serge Gainsbourg,2011,9,Initials B.B.
Rufio,2003,9,Science Fiction
Ed Rush & Optical,1998,9,Compound
The Summer Set,2009,9,Girls Freak Me Out
Deine Lakaien,2016,9,Mindmachine
Counting Crows,2009,9,Colorblind
Jimmy Cliff,2013,9,Come Into My Life
Elton John,1971,9,Levon
Ke$ha,2017,9,Hunt You Down
Excel,2016,9,Shadow Winds
Melvins,2002,9,Black Stooges
Count Basie,2011,9,April In Paris
The Flirtations,2010,9,Nothing But A Heartache
Benassi Bros.,2013,9,Hit My Heart
Eazy-E,1988,9,Nobody Move
PUSH,2013,9,Universal Nation
Plaid,2003,9,Cedar City
Syncopix,2005,9,8-Bit Blues
Turin Brakes,2011,9,Pain Killer
Jesu,2010,9,Heart Ache
Arch Enemy,2011,9,"No Gods, No Masters"
Charles Brown,2012,9,Please Come Home For Christmas
Ella Fitzgerald,2007,9,Misty Blue
Oliver Smith,2007,9,Tomahawk
Michael Bublé,2014,9,Cry Me A River
Balmorhea,2014,9,En Route
The Bravery,2007,9,Believe
Fu,2005,9,Raptowne Realia
Stevie Wonder,2005,9,Another Star
Nils Frahm,2012,9,For
Better Than Ezra,1998,9,One More Murder
Diana Krall,2005,9,I'll Be Home For Christmas
Paradise Lost,2008,9,So Much Is Lost
Bahamas,2012,9,Lost In The Light
Madeleine Peyroux,2010,9,Don't Wait Too Long
Raimundos,2003,9,Andar na Pedra
Caspian,2012,9,Akiko
Aisha Duo,2013,9,Amanda
Zedd,2019,9,365
1349,2009,9,Misanthropy
Stevie Wonder,1973,9,Too High
Attack Attack!,2012,9,The Revolution
Farben Lehre,2005,9,Kwiaty
Take That,1995,9,Back for Good
Caesars,2003,9,Out Of My Hands
Dntel,2009,9,Loneliness Is Having No One to Miss
Insomnium,2014,9,Ephemeral
Łąki Łan,2012,9,Jammin'
Maroon 5,2017,9,Sunday Morning
The Knack,2011,9,My Sharona
Tom Jones,2012,9,What's New Pussycat?
Jakob Dylan,2016,9,Something Good This Way Comes
"Emerson, Lake & Palmer",1972,9,Living Sin
Netsky,2014,9,Running Low
Das Ich,2006,9,Opferzeit
Finley Quaye,2008,9,Ultra Stimulation
Helloween,1987,9,Follow the Sign
Tides From Nebula,2009,9,Shall We?
Alphabeat,2014,9,DJ
The Verve Pipe,2013,9,The Freshmen
Icon of Coil,2006,9,Violations
Carach Angren,2013,9,The Sighting Is a Portent of Doom
Roxette,2014,9,A Thing About You
Sharon Van Etten,2015,9,Tarifa
The Troggs,2002,9,With a Girl Like You
Yngwie Malmsteen,1992,9,Far Beyond The Sun
She Wants Revenge,2008,9,Save Your Soul
Nickelback,2008,9,S.E.X.
Fleshgod Apocalypse,2015,9,Agony
Candlemass,1994,9,Dark Reflections
Dirty Vegas,2003,9,Walk Into The Sun
Stan Getz,1996,9,O Grande Amor
Ephel Duath,2003,9,The Passage (Pearl Grey)
Pitbull,2009,9,I Know You Want Me
Bobby Darin,2013,9,If I Were a Carpenter
Tom Waits,2012,9,Shiver Me Timbers
The Cure,2011,9,Jumping Someone Else's Train
Dillon Francis,2012,9,Falling Up
OSI,2010,9,When You're Ready
Wizo,1994,9,Kopfschuss
Tom Petty and The Heartbreakers,2010,9,Here Comes My Girl
House of Pain,2014,9,Jump Around
Sugarland,2008,9,It Happens
David Thomas Broughton,2006,9,Ambiguity
Sebadoh,1994,9,Rebound
Georges Brassens,2012,9,Les Amoureux Des Bancs Publics
The Residents,1974,9,Boots
Max Richter,2006,9,Fragment
Unter Null,2006,9,Watch You Die
Âme,2009,9,Rej
Leandra,2008,9,Noisy Awareness
Andy Williams,1991,9,Music to Watch Girls By
Blonde Redhead,1998,9,10
Lyfe Jennings,2008,9,Keep On Dreaming
The Slackers,1997,9,Watch This
Teenage Fanclub,1995,9,Verisimilitude
Frank Sinatra,1974,9,"Bad, Bad Leroy Brown"
Bloc Party,2012,9,Real Talk
Poliça,2012,9,The Maker
Megadeth,2009,9,Bite The Hand
The Script,2011,9,For the First Time
SR-71,2000,9,Last Man On The Moon
SKisM,2010,9,Elixir
Nicki Minaj,2014,9,The Night Is Still Young
Goo Goo Dolls,2008,9,Slave Girl
U2,1991,9,Love Is Blindness
Jaron And The Long Road To Love,2010,9,Pray For You
The Beach Boys,1993,9,'Til I Die
Frank Sinatra,2010,9,All My Tomorrows
Everything But the Girl,1984,9,I Must Confess
YUI,2007,9,Winding road
Soul II Soul,2016,9,Fairplay
Clutch,2016,9,Cypress Grove
Delta Goodrem,2007,9,Angels In The Room
Anthrax,2005,9,Medusa
Little Dragon,2014,9,Underbart
Kittie,2004,9,Loveless
Lupe Fiasco,2006,9,I Gotcha
Meat Katie,2005,9,Long to Belong
Abfahrt Hinwil,2002,9,Triology
Jane Air,2015,9,Legalize
Hawthorne Heights,2004,9,Silver Bullet
The Birthday Party,1982,9,Blast Off
Kygo,2016,9,Stay
The War on Drugs,2015,8,Red Eyes
Nico,1974,8,Valley Of The Kings
Salem,2009,8,Frost
Perfume,2015,8,Pick Me Up
Joni Mitchell,1976,8,Amelia
Fleetwood Mac,2015,8,Everywhere
Tina Turner,2010,8,What's Love Got to Do With It
Manowar,1988,8,Heart of Steel
21 Savage,2018,8,monster
Shrinebuilder,2009,8,The Architect
The Kovenant,1998,8,New World Order
Hazmat Modine,2008,8,Bahamut
Eric Prydz,2016,8,Opus
Super Numeri,2003,8,Otter's Pool
Miles Davis,2012,8,Mystery
Elysia,2009,8,Flood of Kings
Jon Secada,2001,8,Just Another Day
Talamasca,2002,8,Time Simulation
Morrissey,2000,8,Piccadilly Palare
Glenn Miller,2013,8,Tuxedo Junction
Santigold,2012,8,Freak Like Me
Dennis Brown,1986,8,Things In Life
Death in Vegas,1997,8,68 Balcony
Red Lorry Yellow Lorry,2000,8,Hollow Eyes
Jamie Cullum,2003,8,"Next Year, Baby"
Audion,2013,8,Billy Says Go
Gorgoroth,1998,8,Blodoffer
INDK,2002,8,Rent for Sale
Collective Soul,2011,8,December
Bond,2016,8,Duel
The Velvet Underground,1986,8,Hey Mr. Rain
Joe Esposito,2010,8,You're the Best
XV,2006,8,Cruise
Sarah Brightman,2002,8,Think Of Me
Daughter,2016,8,New Ways
Danny Byrd,2011,8,Ill Behaviour
7Ray,2009,8,The Devil Made Me Do It
Thousand Foot Krutch,2011,8,Forward Motion
Babasónicos,2007,8,Carismático
Moussa Diallo,2007,8,Maninda
Drake,2018,8,God's Plan
112,2001,8,It's Over Now
Above & Beyond,2014,8,Sun & Moon
Cradle of Filth,2003,8,Serpent Tongue
Eric Dolphy,2011,8,Out to Lunch
Whitesnake,1997,8,Too Many Tears
Sentenced,1997,8,Shadegrown
Felix da Housecat,2017,8,Ready 2 Wear
Testament,1997,8,Nostrovia
Whitley,2007,8,More Than Life
Angela Lansbury,1991,8,Beauty And The Beast
George Michael,2014,8,Brother Can You Spare a Dime
Decoded Feedback,2004,8,Bio-Vital
The Horrors,2011,8,Dive In
Georges Brassens,2014,8,La mauvaise réputation
Hypocrisy,2008,8,Uncontrolled
In Flames,2009,8,Alias
New Kids on the Block,2009,8,I'll Be Loving You (Forever)
Avenged Sevenfold,2018,8,Mad Hatter
Ronald Jenkees,2007,8,Neptune
Paul Hardcastle,2010,8,19
Rites of Spring,1985,8,All There Is
Frankie Goes to Hollywood,2015,8,Two Tribes
Poets of the Fall,2006,8,King of Fools
Vapnet,2005,8,Kalla Mig
Franz Schubert,2011,8,Gute Nacht
The Enemy,2013,8,Away From Here
Johnny Cash,2009,8,The Wall
Ghost Brigade,2017,8,Minus Side
Hoobastank,2001,8,Hello Again
The Afters,2010,8,Beautiful Love
The Jackson 5,2008,8,I'll Be There
Down,2007,8,Jail
John Denver,2015,8,Annie's Song
Above & Beyond,2008,8,Good For Me
Behemoth,2011,8,Chant for Eschaton 2000
Jan Jelinek,2001,8,Tendency
Akira Kiteshi,2009,8,Pinball
Ólafur Arnalds,2012,8,Out To Sea
Benassi Bros.,2005,8,Every Single Day
摩天楼オペラ,2008,8,twilight parade
Morrissey,2009,8,When Last I Spoke to Carol
Sister Machine Gun,1993,8,Sins of the Flesh
Toots and The Maytals,2003,8,One Eye Enos
Gossip,2010,8,Love Long Distance
Olli Schulz & der Hund Marie,2007,8,Medizin
Chico Buarque,2007,8,Pedro Pedreiro
Oliver Huntemann,2009,8,Shanghai Spinner
Young Buck,2013,8,Caught In The Wind
Bob Dylan,1980,8,Sweetheart Like You
Ne-Yo,2008,8,Miss Independent
Serge Gainsbourg,2004,8,Ford Mustang
Lawrence,2005,8,Swap
Agoraphobic Nosebleed,1999,8,Mantis
Frank Sinatra,2011,8,That's Life
The Sins of Thy Beloved,1998,8,Lake of Sorrow
Jazmine Sullivan,2008,8,"Lions, Tigers & Bears"
Blues Pills,2014,8,Devil Man
W.A.S.P.,2011,8,L.O.V.E. Machine
Darkstar,2008,8,Need You
Caribou,2014,8,Can't Do Without You
Róże Europy,2011,8,Jedwab
Luke Bryan,2011,8,Kiss Tomorrow Goodbye
You Me at Six,2017,8,Take On The World
The Mighty Diamonds,2008,8,Right Time
The Meters,1995,8,Look-Ka Py Py
Pat Benatar,2010,8,We Belong
Perfume Genius,2012,8,Hood
Donovan,1967,8,Wear Your Love Like Heaven
Morphine,1996,8,Scratch
And Also The Trees,2009,8,The Street Organ
Fort Knox Five,2007,8,The Brazilian Hipster
