occurences,year,artist
3,2016,Curtis Mayfield
3,2016,The Strumbellas
3,2016,Thrice
3,2016,Tribulation
3,2016,Zayn
2,2016,Bruce Springsteen
2,2016,DJ Zinc
2,2016,kyary pamyu pamyu
1,2016,Black Sabbath
1,2016,Chairlift
1,2016,Heaven Shall Burn
1,2016,Hit the Lights
1,2016,Islands
1,2016,My Chemical Romance
1,2016,Nathan Sykes
1,2016,Omnium Gatherum
1,2016,Pinkshinyultrablast
1,2016,Prince Buster
1,2016,That Poppy
1,2016,The Chainsmokers
16493,2015,The Avett Brothers
14138,2015,Sikth
11459,2015,Weezer
10131,2015,Divinyls
8056,2015,Ludovico Einaudi
7355,2015,Yellowcard
6627,2015,Eric Clapton
6179,2015,Anna Nalick
5386,2015,Omarion
4451,2015,Jamie Cullum
2487,2015,Clint Mansell
2423,2015,Rammstein
2365,2015,T. Rex
1881,2015,Katy Perry
1847,2015,Cash Cash
1839,2015,Ivy
1679,2015,Emil\u00edana Torrini
1499,2015,Elliott Smith
1256,2015,Karunesh
1255,2015,The Rifles
1121,2015,Queen
1119,2015,Robbie Williams
1061,2015,James Horner
951,2015,Bert Jansch
887,2015,Polarkreis 18
815,2015,Cam'ron
746,2015,Little Mix
680,2015,Cantoma
668,2015,St. Vincent
635,2015,Nina Simone
628,2015,Vengaboys
612,2015,Milli Vanilli
599,2015,Chingy
597,2015,London Grammar
580,2015,Amy Winehouse
567,2015,El Perro del Mar
546,2015,Dune
534,2015,Hollywood Undead
519,2015,Irie R\u00e9volt\u00e9s
489,2015,Lou Reed
478,2015,Coolio
466,2015,Robert Johnson
462,2015,Long Beach Dub All Stars
445,2015,Avantasia
445,2015,Styx
420,2015,Alison Krauss
396,2015,Ihsahn
393,2015,Freedom Call
385,2015,Satyricon
374,2015,Kiiara
319,2015,Thursday
315,2015,Lenny Kravitz
308,2015,Gary Moore
291,2015,John Dahlb\u00e4ck
289,2015,The Neighbourhood
285,2015,DJ Aligator
280,2015,Journey
252,2015,Liaisons Dangereuses
244,2015,The 69 Eyes
239,2015,Oceano
238,2015,Sarah Connor
209,2015,Dimmu Borgir
196,2015,Baroness
191,2015,Shawn Mendes
187,2015,While She Sleeps
169,2015,Pitbull
